			LA	 				
The Episcopal Church of the Ascension	1030 Johnston Street	Lafayette	LA	 70501	337-232-2732			
The Estate of Willie James George	8443 Hwy 961	Clinton	LA	 70722	225-614-7658			
The Eternal Rest Cemetery	Corner 1st South  & Armand Sts.	Ville Platte	LA	 70586	337-363-5602			
The Garden	23604 Hutchinson Road	Springfield	LA	 70462	225-294-3441			
The George Family Cemetery	8443 Hwy 961	Clinton	LA	 70722	225-614-7658			
The Grove Cemetery	Highway 329	Avery Island	LA	 70513	337-365-8173			
The Guy Family Cemetery	31899 Weiss Road	Walker	LA	 70785	225-686-3091			
The Hardtimes Cemetery	2055 Sloan Road	Mansfield	LA	 71052	318-872-9419			
The Ingram Family Cemetery	Horseshoe Lake Road	Mer Rouge	LA	 71261	318-855-4527			
The Kennedy Cemetery	66105 Chris Kennedy Road	Peral River	LA	 70452	985-863-2110			
The King Family Cemetery	173 Anding Road	Columbia	LA	 71418	318-249-2071			
The King Family Cemetery	La. Hwy. 546 (Cheniere Drew Road)	West Monroe	LA	 71292	318-323-1100			
The Larry Courtney Family Cemetery	33531 John Barber Road	Holden	LA	 70744	985-974-2630			
The Light House Full Gospel Church Cemetery	11192 Arnold Road	Denham Springs	LA	 70726	225-665-6909			
The Lonesome Pine Cemetery	7048 Hwy 90 E 	Lake Charles	LA	 70615	337-436-1079			
The Methodist Mt. Olive Baptist Cemetery	Hwy. 77	Grosse Tete	LA	 70740	225-648-2099			
The Michael A. Douglas & Family Cemetery	100 Douglas Road	Madisonville	LA	 70447	985-796-5313			
The Paige Cemetery	Haphazard Plantation	Ferriday	LA	 71334	318-757-2449			
The Payne's Cemetery	2487 Joe Turner Lane	Clinton	LA	 70722	225-683-6901			
The Resting Place "FHJM" Burial Ground	Hwy. 71  North	Belcher	LA	 71004	713-641-9711			
The Rose of Sharon/Garden of Memories	589 Loflin Road	Winnsboro	LA	 71295	281-361-7698			
The Smith Cemetery	6965 Hwy. 115	Bunkie	LA	 71322	337-278-5087			
The Thomas Family Cemetery	31575 Pete Bankston Road	Holden	LA	 70744	985-551-4581			
The Upper Place	11425 LA Hwy. 967	St. Francisville	LA	 70775	225-634-3415			
The Woodard Cemetery	Athens and Taylor Road	Taylor	LA	 71080	318-458-7885			
The Young's Cemetery	15263 S. Frontage Road	Welsh	LA	 70591	337-582-7485			
Theo Dendinger Jr. Memorial Cemetery	La. Hwy. 21	Madisonville	LA	 70447	985-845-7607			
Thibodeaux Family Cemetery	3527 Lyons Point Hwy	Morse	LA	 70559	335-4858-133			
Third Zion Baptist Church Cemetery	2649 Hwy 308	Raceland	LA	 70394	985-446-5070			
Thomas and Pullig Cemetery	157 Benton Adkins Road	Coushatta	LA	 71019	318-932-4114			
Thomas Chapel Cemetary	12555 Sunshine Road	Baton Rouge	LA	 70809	225-774-0478			
Thomas Family Cemetery	8201 Carruth Road	Wilson	LA	 70789	225-629-5354			
Thomas Memorial Gardens	Lawrence Creek Road	Franklinton	LA	 70438	985-848-1856			
Thompson Family Cemeter	1180 Zimmer Creek Road	Trout	LA	 71371	281-556-8445			
Thornwell Cemetery	Hwy. 380(Henry Road)	Thornwell	LA	 70549	337-587-2246			
Three Sister's Corner Cemetery	6990 Farm Road	Iowa	LA	 70647	337-526-6276			
Tickfaw Catholic Cemetery	14278 Hwy. 442 West	Tickfaw	LA	 70466	985-345-8184			
Tiffee Family Cemetery	Hwy. 907	Monterrey	LA	 71354	318-386-2862			
Timothy Baptist Church Cemetery	Parish Highway 457	Alexandria	LA	 71302	318-487-0326			
Tioga Cemetery	1409 Cemetery Road	Tioga	LA	 71477	318-446-4378			
Toledo Bend Christian Cemetery	30361 Hwy. 191	Many	LA	 71449	318-256-9396			
Toledo Cemetery	Toledo Lake Road	Zwolle	LA	 71486	318-645-6143			
Toomer Memorial Cemetery	Davis Road	LaCombe	LA	 70445	985-882-5758			
Totsey's Memorial Garden	181 Thomas Lane	Lebeau	LA	 70750	337-346-4291			
Town Cemetery	39460 Willis Alley	Pearl River	LA	 70452	985-863-5800			
Tranquility Acres	152 Tranquility Acres	Trout	LA	 71371	318-992-1120			
Transport Cemetery	Transport road	Jonesboro	LA	 71251	318-259-7638			
Travis Family Cemetery	242 Travis Road	Lake Providence	LA	 71254	318-418-2134			
Tree of Life of Legonier Cemetery	11582 Hwy 1	Lettsworth	LA	 70753	318-305-6553			
Trinity C. M.E. Church Cemetery	400 Bienville St.	Lafayette	LA	 70501	337-234-3005			
Trinity Cemetery	3078 Natchitoches Hwy.	Many	LA	 71449	318-508-2000			
Trinity Episcopal Columbarium of Morgan City	302 Greenwood Street	Morgan City	LA	 70380	985-384-7629			
Triumph Baptist Church Cemetery	6313 Bayou Black	Gibson	LA	 70356	504-575-3478			
Trosclair Cemetery	La. Highway 20	Chackbay	LA	 Not Known	504-633-7630			
True Light Baptist Church Cemetery	Hwy. 360  North	Melville	LA	 71353	337-623-3715			
True Light Worship Center's Cemetery	Brown Ext. Road	Darrow	LA	 70707	225-644-0267			
True Vine Baptist Church Cemetery	234 True Vine Road	Grand Prairie	LA	 70589	337-363-1206			
Turkey Creek Baptist Church Cemetery	6664 Hwy. 128	Gilbert	LA	 71336	318-435-5401			
Turkey Creek Cemetery	Gravel Road  West	Turkey Creek	LA	 70585	337-461-2767			
Turner Chapel Cemetery	Hwy. 1042	Greensburg	LA	 70441	225-222-6194			
Turner Family Cemetery	29275 Lana Drive	Albany	LA	 70403	985-974-7256			
Twin Pines Cemetery	George White Road	Holden	LA	 70744	225-665-1029			
Twin Pines Faith Cemetery	George White Road	Holden	LA	 70744	225-567-9120			
Tyler Cemetery	Tyler Cemetery Road	Centerpoint	LA	 71323	318-253-8713			
Tyson Graveyard a/ka/ Sugar Hill Cemetery	Hwy. 168 East	Rodessa	LA	 71069	318-284-3322			
Unforgotten Cemetery	9718 Hwy. 1, North	Lena	LA	 71447	318-793-2022			
Union Baptist Church Cemetery	Corner Church & St. Bernard Street	St. Martinville	LA	 70582	337-394-6407			
Union Baptist Church Cemetery	Union Church Road	Amite	LA	 70422	504-878-2061			
Union Benevolent Cemetery	Isabel Street	Houma	LA	 70363	985-872-2034			
Union Bethel Family Church Cemetery	10864 Tunica Trace	St. Francisville	LA	 70775	225-635-6177			
Union Cemetery	Highway 147	Arcadia	LA	 71001	318-263-2322			
Union Cemetery	Bag Dad Loop Road	Colfax	LA	 71417	318-627-3855			
Union Church Cemetery	3270 Union Church Road	Baskin	LA	 71219	318-248-3433			
Union Circle Cemetery	Daney Street Extension	Slidell	LA	 70458	504-643-5475			
Union Hall Cemetery	Hwy. 71	Coushatta	LA	 71019	318-932-4854			
United Baptist Church Cemetery	Cloud Crossing Road	Campti	LA	 71411	318-476-3320			
Unity Baptist Church Cemetery	Hwy. 28  East & Magnolia Estates Drive	Pineville	LA	 71360	318-466-5056			
Ursuline Masoleum	2734 Nashville Ave.	New Orleans	LA	 70115-7008	504-866-3141			
V Brady Family Cemetery	29219 Bill McLin Road	Livingston	LA	 70754	225-686-9996			
Valence Cemetery	Valance Street	New Orleans	LA	 70118	504-658-3781			
Van B Rester Cemetery	2451 Cooper Road	Bogalusa	LA	 70427	985-732-2199			
Vanzant Memorial Garden	163 V.P.Drive	Mansfield	LA	 71052	318-872-1559			
Vernon Baptist Church Cemetery	115 Vernon-Eros Road	Ruston	LA	 71270	318-249-4269			
Vernon Cemetery	Hwy. 171 North	Leesville	LA	 71446	337-239-2444			
Vick Baptist Church Cemetery	2803 Hwy. 1196	Vick	LA	 71331	318-253-0378			
Victory Tabernacle Cemetery	19145 Hwy. 182, East	Jeanerette	LA	 70544	337-276-7590			
Vise Family Cemetery	48084 Hwy. 10	Franklinton	LA	 70438	985-839-4827			
Voltolina's Cemetery	55219 T. C. Nobles Road	Angie	LA	 70426	985-848-5815			
Von Hoff Cemetery	37052 Martin Luther King St.	Darrow	LA	 70725	225-473-1570			
W P Nunez Family Cemetery	8312 A. Derouen Road	Bell City	LA	 70630	337-622-3479			
W. Jordan Cemetery	31 W. Jordan Road	Pineville	LA	 71360	318-466-5508			
W. O. Turnage Family Cemetery	32295 W. O. Turnage Road	Franklinton	LA	 70438	985-848-5639			
Wade Family Cemetery	211 Garlington Cut Off Road	Effie	LA	 71331	318-253-6705			
Walker Baptist Church Cemetery	Highway 447	Walker	LA	 70785	225-665-8368			
Walker Cemetery	214 Walker Road	pollock	LA	 71467	318-765-9291			
Walker Cemetery	500 Walker Lane	Grand Cane	LA	 71032	318-872-4093			
Walker Community Cemetery	14719 Hwy 154	Gibsland	LA	 71028	318-263-2390			
Wall Cemetery	Wall Cemetery Road	Prairieville	LA	 70769	985-640-8676			
Wallace Cemetery	Intersection of Haire Loop & Reddix Road	Pelican	LA	 71063	318-796-3888			
Walnut Bluff Family Cemetery	2473 Hwy 361	Washington	LA	 70589	337-442-8904			
Walnut Hill Baptist Cemetery	10899 Walnut Hill Church Road	Vivian	LA	 71082	870-310-1650			
Walnut Hill St. Mary Baptist Church	9215 Simpson Road	Shreveport	LA	 71129	318-688-1493			
Walnut Ridge Cemetery	Hwy. 147	Quitman	LA	 71268	318-259-3933			
Wampold Family Cemetery	14512 US Hwy 61	St. Francicisville	LA	 70775	225-376-0266			
Ward's Chapel Cemetery	225 Cooper Street	Haynesville	LA	 71038	318-624-2969			
Warren Cemetery	4598 Warren Church Road	Many	LA	 71449	318-256-5812			
Watts Cemetery	14533 Hwy. 10	Greensburg	LA	 70441	225-683-4385			
Way-a-Way Cemetery	Way-a-Way Plantation Road	Lake Providence	LA	 71254	318-559-2587			
Webber Cemetery	Webber Road	Clayton	LA	 71326	318-757-4855			
Webster Cemetery	175 Webster Cemetery Road	Jena	LA	 71342	318-992-8326			
Weeks Cemetery	461 J.B. Weeks Lane	Ferriday	LA	 71334	318-757-2386			
Weldon Cemetery	15059 Hwy. 2,  Alt.	Weldon	LA	 71222	318-285-7566			
Wells Family Cemetery	1260 E. Pine Street	Ponchatoula	LA	 70454	504-542-4219			
Wesley Cemetery	Hwy. 892	St. Joseph	LA	 71366	318-766-4767			
Wesley Chapel  Cemetery	Hwy. 783	Coushatta	LA	 71019	318-932.7164			
Wesley Chapel Cemetery	Mission Drive	Simmesport	LA	 71369	225-718-5710			
Wesley Ray United Methodist	30819 Wesley Ray Road	Angie	LA	 70426	504-986-2321			
West Cemetery	Arlege Road	Vinton	LA	 70668	337-304-7828			
West Family Cemetery	1781 Woodstone Road	Eunice	LA	 70535	337-831-1930			
West Thibodaux  By Pass road Church of Christ Ceme	2205 Hwy 3185	Thibodaux	LA	 70301	985-447-1900			
Western Cemetery	West LeBray Street	Lutcher	LA	 70071	225-869-6840			
Westlake Baptist Church Cemetery	2587 Hwy. 163	Doyline	LA	 71023	318-745-2458			
Westlake Memorial Park	Fletcher & Herford Roads	Westlake	LA	 70669	337-429-2632			
Westlawn Cemetery South	Belle Chasse Hwy  South	Gretna	LA	 70056	504-393-1741			
Westlawn Memorial Park & Cemetery	1225 Whitney Ave	Gretna	LA	 70056	504-393-1741			
Wetmore Cemetery	La. Highway 22  West	Ponchatoula	LA	 70454	985-386-6558			
WG Ard Cemetery	29890 Martin Palmer Road	Albany	LA	 70711	985-969-4181			
Whatley Cemetery	3377 Weiss Road	Walker	LA	 70785	225-686-7318			
Wheeler Family Cemetery	759 Wheeler Road	Marion	LA	 71260	318-292-4165			
Whispering Oaks	38511 Weiss Road	Denham Springs	LA	 70706	225-665-8574			
Whispering Oaks Cemetery	11235 Eliza Lee Cemetery Road	Folsum	LA	 70437	985-705-7807			
White Castle Cemetery	Moss Street	White Castle	LA	 70788	225-545-3635			
White City Cemetery	Borders Country Road	Hornbeck/Florien	LA	 	318-793-8648			
White's Cemetery	56001 Virgil White Lane	Loranger	LA	 70446-3638	985-517-7549			
White's Family Cemetery	23701 La. Hwy 42 Lot #17	Livingston	LA	 70754	225-294-0452			
White's Family Plots	West Gray Road	Vinton	LA	 70668	337-589-5207			
Whitehall Community Cemetery	15251 Country lane	Maurepas	LA	 70449	225-695-6331			
Whitehead Family Cemetery	17928 Florida Blvd.	Holden	LA	 70744	225-567-9653			
Whitstine Cemetery	818 Nelms Loop	Colfax	LA	 71417	318-627-5672			
Whittington Cemetery	Access on West side of 101 Mosswood Circ	Lafayette	LA	 70503	337-349-8054			
Wiggins Family Plot	579 McClanahan Road	Rayville	LA	 71269	318-248-3735			
Wiley Family Cemetery	186 Candy Lane	Deville	LA	 71328	318-442-6035			
Wiley Family Cemetery	399 C. Burnaman Road	Effie	LA	 71331	318-253-4986			
Wiley Y. Barnett Family Cemetery	Lockhart Crossing Road	Denham Springs	LA	 70727	225-665-2084			
Wilkins Family Cemetery	200 Yards West of 243 Beckley Road	Columbia	LA	 71418	318-649-5750			
Willet Family Cemetery	Titleist Drive	Pineville	LA	 71360	318-613-8864			
William Dyson Cemetery	Rayborn Road	Boliver	LA	 Not Known	225-766-7810			
William Hedington Memorial Cemetery	23391 Charles Holden Road	Holden	LA	 70744	225-567-6199			
William J. Saul  &Diane S. Saul	962 Riverside Dr.	Vidalia	LA	 71373	318-336-8741			
Williams Family Cemetery	322 Biddle Road	Dry Prong	LA	 71423	318-899-1596			
Williams Family Cemetery	31340 Sam Thomas Road	Franklinton	LA	 70438	504-839-4215			
Willie & Ruth Mizell Family Cemetery	32042 North Doyle Road	Holden	LA	 70744	225-572-4119			
Willie Cemetery	Willie Road	Folsom	LA	 70437	225-757-1855			
Willis Jones Cemetery	621 Mathilda Street	Eunice	LA	 70535	337-457-4639			
Willow Springs Baptist Church Cemetery	809 Wiloow Spring Road	Sulphur	LA	 70663	337-527-3448			
Wilson Amos Memorial Cemetery	Pine Road	Slidell	LA	 70460	985-768-8266			
Wilson Duplechin Family Plots	7457 Hwy. 190  East	Ragley	LA	 70657	318-725-6283			
Wilson Family Cemetery	11746 Lettsworth	Lettsworth	LA	 70753	318-773-7786			
Wimberly Family Cemetery	801 Pleasant Road	Ringgold	LA	 71068	318-396-8843			
Winchester Cemetery	533 Natural Gas Road	Logansport	LA	 71049	318-470-8846			
Winnfield City Cemetery	West South Street	Winnfield	LA	 71483	318-628-3204			
Winnfield Memorial Park	7221 Plank Rd.	Baton Rouge	LA	 70807	225-357-2675			
Winters Cemetery	73335 Hwy. 1049	Kentwood	LA	 70444	985-229-8598			
Wood Cemetery	O. C. Jenkins Road	Franklinton	LA	 70438	504-839-3282			
Woodham Cemetery	84 Hwy 461	Hineston	LA	 71438	318-623-2166			
Woodhams Garden Memories	377 Ned Woodham Road	Leeaville	LA	 71446	337-378-2240			
Woodhaven Baptist Church Cemetery	10318 Hwy. 1064	Tickfaw	LA	 70466	985-878-6978			
Woodhaven Church of God Cemetery	11254 Hwy. 1064	Natalbany	LA	 70451	225-567-9557			
Woodland Haven Cemetery	1383 Hwy. 531	Minden	LA	 71055	318-371-1295			
Woodland Memorial Park	Hwy. 84  East	Jena	LA	 71342	318-992-8669			
Woodlawn Cemetery	Avenue F	Crowley	LA	 70526	337-783-3313			
Woodlawn Mausoleum	Highway 84	Ferriday	LA	 71334	318-757-4131			
Woodlawn Park Memorial Cemetery & Mausoleum	West Nine Mile Point Road	Westwego	LA	 70094	504-361-8649			
Woodruff Memorial Cemetery	1095 Jeanus Road	Ville Platte	LA	 70586	318-729-9860			
Woods Memorial Garden Columarium	543 Ockley Drive	Shreveport	LA	 71106	318-865-8414			
Word Cemetery	Ernest Road	Oak Ridge	LA	 71264	318-417-5775			
Word of Faith Memorial Garden		Mamou	LA	 70554	337-468-3703			
Wortham & Cason Cemetery	Wortham Road	Shongaloo	LA	 71072	318-846-2683			
Wyant Cemetery	Wyant Road	Enterprise	LA	 71425	318-744-5341			
Young Cemetery	272 Hwy 907	Monterey	LA	 71354	318-447-8680			
Young Family Cemetery	1640 Pride Port Hudson Road	Zachary	LA	 70791	225-654-2914			
Young Ladies Benevolent Cemetery	Morristown Bypass Road	Raceland	LA	 70394	985-537-6638			
Yucca Point	12226 Kiwi Drive	Mer Rouge	LA	 71261	318-499-4010			
Zammit Family Cemetery	63 Emerald Drive	Many	LA	 71449	318-586-7301			
Zeller Family Cemetery	34009 Cane Market Road	Walker	LA	 70785	225-218-3721			
Zion Baptist Church Cemetery	344 Elam Turner Road	Foules	LA	 7l326	318-389-5647			
Zion Cemetery	Highway 71	Coushatta	LA	 71019	318-476-2239			
Zion Memorial Gardens	262 Sanders St.	Thibodaux	LA	 70301	504-447-3580			
Zion Rest Cemetery	Zion Rest Church Road	Jonesboro	LA	 71251	318-249-4462			
Zion Rest Cemetery	4320 Henry St	Shreveport	LA	 71109	318-686-1168			
Zoar Baptist Church Cemetery	11848 Hooper Road	Baton Rouge	LA	 70818	225-261-4740			
